,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Muravlenko,100,RU,1575570710,95,63.79,74.5,11.88,8.12
375,Egvekinot,72,RU,1575570687,92,66.32,-179.17,-0.38,9.4
376,Isangel,92,VU,1575570988,86,-19.55,169.27,77.43,8.39
377,Jiuquan,1,CN,1575570988,24,39.73,98.49,23.32,8.86
378,Kabinda,100,CD,1575570988,93,-6.14,24.49,69.58,2.71
379,Soloneshnoye,94,RU,1575570988,72,51.65,84.32,33.84,5.3
380,Mehamn,75,NO,1575570680,99,71.03,27.85,32.0,2.24
381,Padang,89,ID,1575570691,89,-0.92,100.36,67.5,5.75
382,Belaya Gora,100,RU,1575570988,96,68.54,146.19,-10.16,7.52
383,Miles City,90,US,1575570697,80,46.41,-105.84,34.0,6.93
384,Nanticoke,90,US,1575570988,87,41.21,-76.0,39.0,11.41
385,Dillon,1,US,1575570989,79,45.22,-112.64,28.99,9.17
386,Denpasar,20,ID,1575570729,88,-8.65,115.22,82.4,3.36
387,Okato,0,NZ,1575570989,87,-39.19,173.88,57.0,1.99
388,Hovd,20,NO,1575570989,80,63.83,10.7,42.01,18.34
389,Saskylakh,43,RU,1575570724,99,71.97,114.09,-36.38,2.66
390,Acapulco,20,MX,1575570738,70,16.86,-99.88,86.0,8.05
391,Ankara,1,TR,1575570989,79,39.92,32.85,32.0,4.7
392,Abu Kamal,64,SY,1575570990,44,34.45,40.92,59.7,11.18
393,Lopik,90,NL,1575570990,100,51.98,4.95,39.99,16.11
394,Namatanai,83,PG,1575570712,77,-3.66,152.44,81.73,4.59
395,Magan,0,OM,1575570990,69,24.42,56.58,73.4,3.36
396,Henties Bay,92,NA,1575570683,84,-22.12,14.28,66.99,1.99
397,Kaya,0,NG,1575570990,13,13.31,12.68,74.44,6.55
398,Nabire,94,ID,1575570713,97,-3.36,135.5,70.93,2.55
399,Esparta,75,HN,1575570990,74,15.74,-87.18,84.2,4.7
400,San Isidro,75,CR,1575570990,69,10.02,-84.06,78.8,14.99
401,San Jose de Rio Tinto,37,HN,1575570990,50,14.93,-85.7,80.78,3.47
402,Santa Vitoria,74,BR,1575570990,59,-7.82,-67.03,88.57,2.57
403,Male,54,UA,1575570990,92,50.74,33.7,29.93,8.7
404,Catalao,100,BR,1575570696,86,-18.17,-47.95,77.09,9.6
405,Riohacha,20,CO,1575570899,41,11.54,-72.91,96.8,18.34
406,Komsomolskiy,91,RU,1575570703,96,67.55,63.78,2.01,3.6
407,Rach Gia,20,VN,1575570991,83,10.02,105.08,73.4,5.82
408,Chifeng,0,CN,1575570991,34,42.27,118.96,4.42,6.15
409,Pozo Colorado,11,PY,1575570991,32,-23.49,-58.8,89.04,10.04
410,Teguise,75,ES,1575570991,68,29.06,-13.56,64.4,21.92
411,Vrangel,0,RU,1575570991,78,42.73,133.08,15.1,27.69
412,Sernur,89,RU,1575570991,96,56.93,49.15,28.51,16.11
413,Semporna,75,MY,1575570991,94,4.48,118.61,77.0,3.36
414,Te Anau,96,NZ,1575570731,92,-45.41,167.72,48.65,4.72
415,Masuguru,89,MZ,1575570991,61,-11.38,38.46,82.89,5.44
416,Rafaela,0,AR,1575570992,12,-31.25,-61.49,85.42,7.36
417,Vaitape,89,PF,1575570992,72,-16.52,-151.75,81.73,3.94
418,Las Cruces,0,CL,1575570992,63,-33.5,-71.62,77.0,12.75
419,Halifax,90,CA,1575570992,100,44.65,-63.58,39.0,2.19
420,Storforshei,90,NO,1575570992,97,66.4,14.52,32.0,4.7
421,Venado Tuerto,10,AR,1575570992,13,-33.75,-61.97,85.08,7.02
422,Beli Manastir,90,HR,1575570992,85,45.77,18.61,33.01,4.7
423,Maniitsoq,0,GL,1575570992,51,65.42,-52.9,15.13,7.16
424,Turtas,92,RU,1575570992,96,58.94,69.13,10.6,5.59
425,Baraboo,40,US,1575570992,74,43.47,-89.74,42.01,5.82
426,Alice Springs,11,AU,1575570696,13,-23.7,133.88,64.4,5.82
427,Jinchang,0,CN,1575570993,28,38.52,102.19,24.39,5.53
428,Areia Branca,20,BR,1575570993,62,-10.76,-37.31,86.0,13.87
429,Nouadhibou,0,MR,1575570993,68,20.93,-17.03,68.0,12.75
430,Kitui,96,KE,1575570993,86,-1.37,38.02,68.83,2.15
431,Lazaro Cardenas,90,MX,1575570993,40,28.39,-105.62,68.0,5.82
432,Walvis Bay,62,NA,1575570993,72,-22.95,14.51,68.0,3.36
433,Gravdal,75,NO,1575570993,93,59.79,5.78,46.99,31.09
434,San Patricio,0,PY,1575570699,29,-26.98,-56.83,83.41,9.84
435,Tiksi,100,RU,1575570685,100,71.64,128.87,-16.92,3.74
436,Mastic Beach,20,US,1575570779,41,40.77,-72.85,44.01,18.34
437,Jasper,1,US,1575570994,43,33.83,-87.28,62.6,4.32
438,Hasaki,75,JP,1575570684,75,35.73,140.83,42.8,10.29
439,Bandarbeyla,100,SO,1575570994,82,9.49,50.81,80.62,33.24
440,Mwinilunga,75,ZM,1575570994,94,-11.73,24.43,64.67,1.32
441,Nantucket,20,US,1575570870,56,41.28,-70.1,44.6,16.11
442,Mason City,1,US,1575570994,86,43.15,-93.2,44.6,5.82
443,Fairbanks,1,US,1575570955,74,64.84,-147.72,-20.2,3.67
444,Talcahuano,0,CL,1575570994,59,-36.72,-73.12,66.2,23.04
445,Santa Rosalia,75,IT,1575570994,87,38.07,13.27,61.0,1.12
446,Rancho Palos Verdes,40,US,1575570761,87,33.75,-118.37,64.4,8.25
447,Sawtell,0,AU,1575570995,81,-30.38,153.1,57.99,4.5
448,Sao Gabriel da Cachoeira,40,BR,1575570707,62,-0.13,-67.09,89.6,3.36
449,Arman,99,RU,1575570995,94,59.7,150.17,3.6,21.39
450,Ashcroft,20,AU,1575570995,88,-33.91,150.9,64.4,8.05
451,Palmeiras de Goias,84,BR,1575570995,71,-16.8,-49.93,82.11,5.53
452,Zhigansk,91,RU,1575570713,93,66.77,123.37,-34.73,9.8
453,Sao Sebastiao do Passe,20,BR,1575570995,62,-12.51,-38.5,86.0,14.99
454,Bata,40,GQ,1575570996,83,1.87,9.77,84.2,8.05
455,Innisfail,95,AU,1575570996,92,-17.52,146.03,74.43,3.09
456,Bagaha,0,IN,1575570996,56,27.1,84.09,64.24,2.73
457,Inirida,100,CO,1575570731,95,3.87,-67.92,79.23,2.19
458,Sisimiut,0,GL,1575570996,56,66.94,-53.67,1.62,11.68
459,Lorengau,46,PG,1575570727,75,-2.02,147.27,83.52,7.23
460,Benalla,59,AU,1575570996,71,-36.55,145.99,55.99,11.41
461,Marzuq,33,YE,1575570996,34,14.4,46.47,59.68,2.37
462,Thanh Hoa,20,VN,1575570996,83,10.21,106.33,73.4,5.82
463,Kamina,100,CD,1575570996,95,-8.74,25.0,64.02,1.1
464,Berlevag,75,NO,1575570715,97,70.86,29.09,32.0,2.24
465,Constantine,40,DZ,1575570996,62,36.36,6.61,51.8,5.82
466,Lida,0,BY,1575570997,70,53.9,25.3,31.91,12.97
467,Bay City,1,US,1575570997,77,43.59,-83.89,35.6,8.05
468,Samarai,99,PG,1575570997,91,-10.62,150.67,74.21,2.93
469,Khuzhir,2,RU,1575570997,65,53.19,107.35,22.75,8.57
470,Odienne,100,CI,1575570997,25,9.51,-7.57,81.3,2.1
471,Sorong,84,ID,1575570732,96,-0.86,131.25,74.48,0.36
472,Kindersley,40,CA,1575570997,85,51.47,-109.16,25.0,5.82
473,Lisala,55,CD,1575570997,65,2.15,21.52,79.75,0.69
474,Dingli,95,IN,1575570997,33,28.39,75.51,60.62,3.85
475,Terrace,90,CA,1575570551,92,54.52,-128.61,30.2,6.93
476,Usvyaty,94,RU,1575570998,89,55.75,30.75,34.23,10.87
477,Youkounkoun,0,GN,1575570998,18,12.53,-13.12,88.14,0.51
478,Karratha,18,AU,1575570998,68,-20.74,116.85,82.65,8.61
479,Alcains,0,PT,1575570998,72,39.92,-7.46,52.0,1.99
480,Lerwick,75,GB,1575570998,93,60.15,-1.15,44.6,3.36
481,Coahuayana,0,MX,1575570690,48,18.62,-100.35,87.98,2.35
482,Mocorito,52,MX,1575570998,75,25.48,-107.92,75.99,1.99
483,Ossora,97,RU,1575570998,69,59.24,163.07,25.07,11.1
484,Yudong,67,CN,1575570998,74,32.02,121.36,45.0,1.99
485,Sobolevo,97,RU,1575570998,86,54.43,31.9,33.66,15.37
486,Ketchikan,1,US,1575570715,100,55.34,-131.65,35.6,5.82
487,Ust-Karsk,88,RU,1575570999,92,52.71,118.82,-10.12,4.59
488,Yulara,0,AU,1575570738,9,-25.24,130.99,75.2,6.93
489,Broken Hill,0,AU,1575570690,54,-31.97,141.45,64.4,5.82
490,Celestun,0,MX,1575570999,64,20.87,-90.4,74.46,4.09
491,Homer,75,US,1575570999,79,59.64,-151.54,24.8,4.7
492,Asosa,24,ET,1575570999,43,10.07,34.53,72.5,5.59
493,Shingu,99,JP,1575570678,65,33.72,135.99,48.47,16.26
494,Moerai,24,PF,1575570999,79,-22.43,-151.33,74.01,19.24
495,Ammon,75,US,1575570999,92,43.47,-111.97,25.0,5.82
496,Tutoia,20,BR,1575571000,66,-2.76,-42.27,87.8,19.46
497,Searcy,90,US,1575570924,39,35.25,-91.74,64.4,5.82
498,Ust-Ilimsk,12,RU,1575571000,94,57.96,102.73,0.3,4.65
499,Shache,0,CN,1575570716,57,38.42,77.24,25.75,4.52
500,Lagoa,20,PT,1575570676,63,37.14,-8.45,60.8,4.7
501,Balmazujvaros,0,HU,1575571000,100,47.62,21.35,26.6,4.7
502,Mitchell,1,US,1575570742,74,43.71,-98.03,36.0,10.29
503,Foam Lake,26,CA,1575571001,94,51.65,-103.53,5.54,5.44
504,Gambiran,83,ID,1575571001,88,-7.93,111.77,76.05,0.78
505,Sidmouth,75,GB,1575571001,81,50.68,-3.24,51.01,13.87
506,Saiha,12,IN,1575571001,78,22.49,92.98,54.46,3.83
507,Kohlu,0,PK,1575571001,33,29.9,69.25,47.5,1.03
508,Myitkyina,0,MM,1575571001,64,25.38,97.4,55.49,3.51
509,Chickasha,1,US,1575570822,42,35.05,-97.94,66.0,10.29
510,Khilok,100,RU,1575571001,98,51.36,110.46,1.47,5.5
511,Axim,100,GH,1575570715,88,4.87,-2.24,77.86,4.85
512,Riyadh,0,SA,1575570848,48,24.63,46.72,64.4,4.7
513,Severo-Kurilsk,93,RU,1575570691,86,50.68,156.12,21.69,28.12
514,Kota Tinggi,75,MY,1575571002,88,1.73,103.9,80.6,1.12
515,Dobson,56,NZ,1575571002,96,-42.45,171.31,47.98,1.83
516,Paita,0,PE,1575571002,100,-5.09,-81.11,62.6,14.99
517,Livingston,1,US,1575571002,47,32.58,-88.19,64.4,3.78
518,Tigil,98,RU,1575571002,73,57.8,158.67,11.08,3.06
519,Gat,85,SN,1575571002,27,14.69,-16.54,87.8,4.7
520,Tairua,0,NZ,1575571002,71,-37.02,175.85,63.19,4.14
521,Mount Isa,13,AU,1575570713,11,-20.73,139.49,75.2,9.35
522,Ostersund,83,SE,1575570787,72,63.18,14.64,33.01,14.99
523,Dibulla,20,CO,1575571002,41,11.27,-73.31,96.8,18.34
524,Saurimo,74,AO,1575571002,96,-9.66,20.4,66.51,0.56
525,Burns Lake,98,CA,1575571003,76,54.23,-125.76,16.74,1.12
526,Dubrovnik,75,HR,1575571003,53,42.65,18.09,51.8,3.36
527,Kathu,100,ZA,1575571003,73,-27.7,23.05,64.8,15.93
528,Saint-Francois,0,FR,1575571003,100,46.42,3.91,33.8,2.24
529,Kirakira,99,SB,1575570696,88,-10.46,161.92,75.88,5.61
530,Altay,96,CN,1575571004,36,47.83,88.13,23.47,3.42
531,Mandalgovi,31,MN,1575571004,45,45.76,106.27,13.51,6.38
532,Ormstown,90,CA,1575571004,80,45.13,-73.99,33.01,19.46
533,Havoysund,100,NO,1575570713,92,71.0,24.66,30.2,9.17
534,Nanortalik,37,GL,1575570679,50,60.14,-45.24,29.79,2.13
535,Canakkale,40,TR,1575571004,76,40.15,26.41,48.2,12.75
536,Marjamaa,75,EE,1575571004,81,58.9,24.43,44.01,21.92
537,Chipiona,9,PE,1575571004,40,-14.54,-75.2,77.31,11.92
538,Hays,1,US,1575571004,50,38.88,-99.33,53.6,5.82
539,Araripina,59,BR,1575571004,22,-7.58,-40.5,91.4,8.25
540,West Wendover,90,US,1575571005,86,40.74,-114.07,33.8,3.36
541,Awjilah,13,LY,1575571005,35,29.14,21.3,64.31,7.78
542,Rivne,0,UA,1575571005,72,50.62,26.25,30.0,8.21
543,Sambava,20,MG,1575570681,87,-14.27,50.17,72.52,2.3
544,Aykhal,23,RU,1575571005,64,65.95,111.51,-41.8,4.47
545,Bilgoraj,0,PL,1575571005,67,50.54,22.72,33.01,11.41
546,Poya,100,NC,1575570727,83,-21.35,165.16,75.38,10.47
547,Moose Factory,90,CA,1575571005,85,51.26,-80.61,23.0,14.99
548,Arvika,90,SE,1575571005,75,59.65,12.59,44.6,21.92
